artist_id,artist_ja,artist_en,genre1,genre2,genre3,major_level,has_album_cover,album_image,album_name,album_year
j001,[Alexandros],[Alexandros],J-POP,ロック,,5,1,ldzp.jpg,ALXD,2019
j002,Official髭男dism,Official Hige Dandism,J-POP,ポップス,,5,1,pkfd.jpg,Editorial,2020
j003,King Gnu,King Gnu,J-POP,ロック,,5,1,vbug.jpg,THE GREATEST UNKNOWN,2023
j004,あいみょん,Aimyon,J-POP,ポップス,,5,1,edsl.jpg,瞬間的シックスセンス,2021
j005,YOASOBI,YOASOBI,J-POP,ポップス,,5,1,rdhd.jpg,THE BOOK,2021
j006,米津玄師,Kenshi Yonezu,J-POP,ポップス,,5,1,ldzp.jpg,STRAY SHEEP,2020
j007,Mrs. GREEN APPLE,Mrs. GREEN APPLE,J-POP,ロック,,5,1,pkfd.jpg,Attitude,2022
j008,back number,back number,J-POP,ロック,,5,1,vbug.jpg,ユーモア,2021
j009,サカナクション,Sakanaction,J-POP,ロック,,5,1,edsl.jpg,834.194,2019
j010,RADWIMPS,RADWIMPS,J-POP,ロック,,5,1,rdhd.jpg,ANTI ANTI GENERATION,2018
j011,椎名林檎,Sheena Ringo,J-POP,ロック,,5,1,ldzp.jpg,三毒史,2019
j012,星野源,Gen Hoshino,J-POP,ポップス,,5,1,pkfd.jpg,POP VIRUS,2018
j013,BUMP OF CHICKEN,BUMP OF CHICKEN,J-POP,ロック,,5,1,vbug.jpg,aurora arc,2020
j014,スピッツ,Spitz,J-POP,ロック,,5,1,edsl.jpg,見っけ,2019
j015,Mr.Children,Mr.Children,J-POP,ロック,,5,1,rdhd.jpg,SOUNDTRACKS,2018
j016,ONE OK ROCK,ONE OK ROCK,J-POP,ロック,,5,1,ldzp.jpg,Eye of the Storm,2019
j017,ASIAN KUNG-FU GENERATION,ASIAN KUNG-FU GENERATION,J-POP,ロック,,5,1,pkfd.jpg,サーフ ブンガク カマクラ,2018
j018,GLAY,GLAY,J-POP,ロック,,5,1,vbug.jpg,NO DEMOCRACY,2020
j019,L'Arc-en-Ciel,L'Arc-en-Ciel,J-POP,ロック,,5,1,edsl.jpg,BUTTERFLY,2012
j020,B'z,B'z,J-POP,ロック,,5,1,rdhd.jpg,DINOSAUR,2017
j021,宇多田ヒカル,Utada Hikaru,J-POP,ポップス,,5,1,ldzp.jpg,Fantôme,2016
j022,ゆず,Yuzu,J-POP,ポップス,,5,1,pkfd.jpg,YUZUTOWN,2019
j023,DREAMS COME TRUE,DREAMS COME TRUE,J-POP,ポップス,,5,1,vbug.jpg,THE DREAM QUEST,2020
j024,Southern All Stars,Southern All Stars,J-POP,ロック,,5,1,edsl.jpg,海のYeah!!,2018
j025,LUNA SEA,LUNA SEA,J-POP,ロック,,5,1,rdhd.jpg,CROSS,2017
j026,X JAPAN,X JAPAN,J-POP,ロック,,5,1,ldzp.jpg,DAHLIA,1996
j027,THE YELLOW MONKEY,THE YELLOW MONKEY,J-POP,ロック,,5,1,pkfd.jpg,9999,2016
j028,BABYMETAL,BABYMETAL,J-POP,メタル,,5,1,vbug.jpg,METAL GALAXY,2019
j029,ZUTOMAYO,ずっと真夜中でいいのに。,J-POP,ポップス,,5,1,edsl.jpg,潜潜話,2021
j030,Perfume,Perfume,J-POP,テクノ,,5,1,rdhd.jpg,PLASMA,2022
j031,SEKAI NO OWARI,SEKAI NO OWARI,J-POP,ポップス,,5,1,ldzp.jpg,Chameleon,2023
j032,サンボマスター,The Sambomaster,J-POP,ロック,,5,1,pkfd.jpg,サンボマスター,2004
j033,スガシカオ,Shikao Suga,J-POP,ポップス,,5,1,vbug.jpg,流行,2002
j034,くるり,Quruli,J-POP,ロック,,5,1,edsl.jpg,坩堝の電圧,2007
j035,Base Ball Bear,Base Ball Bear,J-POP,ロック,,5,1,rdhd.jpg,十七歳,2008
j036,フジファブリック,Fujifabric,J-POP,ロック,,5,1,ldzp.jpg,FAB FOX,2010
j037,サカナクション,Sakanaction,J-POP,ロック,,5,1,pkfd.jpg,834.194,2019
j038,ポルノグラフィティ,Porno Graffitti,J-POP,ロック,,5,1,vbug.jpg,THUMPx,2016
j039,スキマスイッチ,Sukima Switch,J-POP,ポップス,,5,1,edsl.jpg,スキマスイッチ,2003
j040,ORANGE RANGE,ORANGE RANGE,J-POP,ロック,,5,1,rdhd.jpg,1st CONTACT,2004
p001,ビートルズ,The Beatles,ポップス,ロック,,5,1,ldzp.jpg,ABBEY ROAD,1969
p002,マイケル・ジャクソン,Michael Jackson,ポップス,ソウル,,5,1,pkfd.jpg,Thriller,1982
p003,テイラー・スウィフト,Taylor Swift,ポップス,カントリー,,5,1,vbug.jpg,1989,2014
p004,アデル,Adele,ポップス,ソウル,,5,1,edsl.jpg,21,2011
p005,エド・シーラン,Ed Sheeran,ポップス,フォーク,,5,1,rdhd.jpg,÷,2017
p006,レディー・ガガ,Lady Gaga,ポップス,ダンス,,5,1,ldzp.jpg,The Fame,2008
p007,ブルーノ・マーズ,Bruno Mars,ポップス,R&B,,5,1,pkfd.jpg,24K Magic,2016
p008,ビリー・アイリッシュ,Billie Eilish,ポップス,エレクトロニック,,5,1,vbug.jpg,WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?,2019
p009,アリアナ・グランデ,Ariana Grande,ポップス,R&B,,5,1,edsl.jpg,thank u, next,2019
